Stall Name,Food Item Name,Category,Price,Description,Location,Mins,Location
Bavarian Biergarten,Beer-Battered Onion Rings,American,$6.00 ,Crispy beer-battered onion rings served with a side of ranch dressing.,Curva Grande,46,"45.629193 ,9.282877"
Brasserie Française,Frites,American,$6.99 ,"Thin and crispy French fries, typically served with a variety of dipping sauces.",Variante del Rettifilo,40,"45.624938 ,9.281611"
Fish & Chips,Onion Rings,American,$5.99 ,"Crispy battered and fried onion rings, typically served with a dipping sauce like ketchup or ranch.",Lesmo 2,11,"45.628667 ,9.29616"
Fish n' Chips Corner,Clam Chowder,American,$5.99 ,"A creamy and flavorful soup made with fresh clams, potatoes, and bacon.",Ascari Chicane,16,"45.621926 ,9.285407"
Grandstand,Classic Burger,American,$12.00 ,"A juicy beef patty topped with lettuce, tomato, and cheese, served on a soft bun.",Start/Finish Line,17,"45.6158 ,9.2812"
Grandstand,Chicken Wings,American,$10.00 ,"Crispy fried chicken wings, tossed in your choice of BBQ, buffalo, or teriyaki sauce.",Start/Finish Line,17,"45.6158 ,9.2812"
Grandstand,Loaded Fries,American,$8.00 ,"Crispy fries topped with melted cheese, bacon, and green onions, served with ranch dressing.",Start/Finish Line,17,"45.6158 ,9.2812"
Grandstand,Grilled Chicken Sandwich,American,$10.00 ,"Grilled chicken breast topped with bacon, lettuce, tomato, and mayo, served on a brioche bun.",Start/Finish Line,17,"45.6158 ,9.2812"
Grandstand,Nachos,American,$8.00 ,"Crispy tortilla chips topped with melted cheese, jalapenos, sour cream, and guacamole.",Start/Finish Line,17,"45.6158 ,9.2812"
Pizza Parlor,Garlic Knots,American,$5.99 ,Soft and chewy knots of bread brushed with garlic butter and served with a side of marinara sauce.,Ascari Chicane,40,"45.621926 ,9.285407"
Popcorn Palace,Buttered Popcorn,American,$4.99 ,"Freshly popped popcorn with melted butter, perfect for munching on during the game.",Parabolica,32,"45.610716 ,9.283778"
Popcorn Palace,Caramel Popcorn,American,$5.99 ,"Freshly popped popcorn coated with a sweet and sticky caramel sauce, perfect for satisfying your sweet tooth.",Parabolica,32,"45.610716 ,9.283778"
Snack Attack,Soft Pretzels,American,$3.99 ,"Freshly baked soft pretzels, typically served with a side of mustard or cheese sauce for dipping.",Start/Finish Line,43,"45.6158 ,9.2812"
Taco Time,Loaded Fries,American,$7.99 ,"French fries topped with melted cheese, sour cream, guacamole, and choice of meat, typically served with a side of salsa.",Ascari Chicane,15,"45.621926 ,9.285407"
The Burger Joint,Veggie Burger,American,$10.00 ,"A vegetarian patty made with black beans, sweet potatoes, and quinoa, topped with avocado and sriracha mayo.",Curva Grande,35,"45.629193 ,9.282877"
The Burger Joint,Double Cheeseburger,American,$12.00 ,"Two juicy beef patties topped with melted cheese, lettuce, tomato, and pickles, served on a sesame seed bun.",Curva Grande,35,"45.629193 ,9.282877"
The Burger Joint,BBQ Bacon Burger,American,$12.00 ,"A beef patty topped with crispy bacon, cheddar",Curva Grande,35,"45.629193 ,9.282877"
The Burger Joint,Classic Cheeseburger,American,$8.99 ,"A classic beef patty with melted cheese, lettuce, tomato, and special sauce, served on a sesame seed bun.",Curva Grande,35,"45.629193 ,9.282877"
The Burger Joint,BBQ Bacon Burger,American,$10.99 ,"A beef patty topped with crispy bacon, cheddar cheese, BBQ sauce, and onion rings, served on a brioche bun.",Curva Grande,35,"45.629193 ,9.282877"
The Burger Joint,Mushroom Swiss Burger,American,$9.99 ,"A beef patty topped with sautéed mushrooms, Swiss cheese, lettuce, and garlic aioli, served on a whole wheat bun.",Curva Grande,35,"45.629193 ,9.282877"
The Fry Guys,Buffalo Chicken Wings,American,$8.99 ,"Crispy chicken wings tossed in Buffalo sauce, served with celery sticks and blue cheese dressing.",Variante della Roggia,29,"45.630373 ,9.291853"
The Pastry Corner,Bagel with Cream Cheese,American,$3.99 ,A toasted bagel served with a generous portion of cream cheese.,Curva Grande,25,"45.629193 ,9.282877"
The Schnitzel Haus,Reuben Sandwich,American,$10.00 ,"A sandwich made with corned beef, Swiss cheese, sauerkraut, and thousand island dressing on rye bread.",Lesmo 1,50,"45.631285 ,9.295308"
The Snack Bar,Hot Dog,American,$4.99 ,"A classic all-beef hot dog served on a bun with your choice of ketchup, mustard, and relish.",Lesmo 2,24,"45.628667 ,9.29616"
The Snack Bar,Pretzel Dog,American,$5.99 ,,Lesmo 2,24,"45.628667 ,9.29616"
The Snack Bar,Popcorn,American,$3.99 ,"Freshly popped popcorn, lightly seasoned with salt and butter.",Lesmo 2,24,"45.628667 ,9.29616"
The Snack Bar,French Fries,American,$3.99 ,"Crispy and golden fries, perfect for snacking or sharing.",Lesmo 2,24,"45.628667 ,9.29616"
The Snack Bar,Chicken Tenders,American,$7.99 ,"Tender and juicy chicken strips, breaded and fried to perfection. Served with your choice of dipping sauce.",Lesmo 2,24,"45.628667 ,9.29616"
The Snack Shack,Popcorn,American,$3.99 ,"Freshly popped popcorn seasoned with your choice of butter, salt, or caramel.",Ascari Chicane,15,"45.621926 ,9.285407"
The Snack Shack,Soft Pretzel,American,$3.99 ,"A warm and soft pretzel sprinkled with salt, served with spicy mustard dipping sauce.",Ascari Chicane,15,"45.621926 ,9.285407"
Fresh Fruit Paradise,Fruit Smoothie,Beverages,$4.99 ,"A refreshing and fruity smoothie made with your choice of fresh fruits, yogurt, and ice.",Parabolica,35,"45.610716 ,9.283778"
Ice Cream Delight,Strawberry Milkshake,Beverages,$4.99 ,A thick and creamy milkshake made with fresh strawberries and vanilla ice cream.,Variante della Roggia,19,"45.630373 ,9.291853"
Tandoori Delight,Mango Lassi,Beverages,$3.99 ,A sweet and refreshing yogurt-based drink flavored with mango pulp and spices.,Parabolica,23,"45.610716 ,9.283778"
The Burger Joint,Chocolate Milkshake,Beverages,$5.99 ,A creamy milkshake made with chocolate ice cream and topped with whipped cream and chocolate sauce.,Curva Grande,35,"45.629193 ,9.282877"
